samples,variants,populations,walltime
1000,2000,10,0.21
1200,2000,10,0.25
1400,2000,10,0.31
1600,2000,10,0.38
1800,2000,10,0.46
2000,2000,10,0.51
2200,2000,10,0.62
2400,2000,10,0.75
2600,2000,10,0.91
2800,2000,10,0.92
3000,2000,10,1.01
3200,2000,10,1.18
3400,2000,10,1.32
3600,2000,10,1.55
3800,2000,10,1.74
4000,2000,10,1.68
4200,2000,10,1.97
4400,2000,10,2.10
4600,2000,10,2.40
4800,2000,10,2.33
5000,2000,10,2.55
5200,2000,10,2.76
5400,2000,10,2.92
5600,2000,10,3.10
5800,2000,10,3.20
6000,2000,10,3.48
6200,2000,10,3.88
6400,2000,10,3.88
6600,2000,10,4.12
6800,2000,10,4.28
7000,2000,10,4.56
7200,2000,10,4.81
7400,2000,10,5.38
7600,2000,10,5.67
7800,2000,10,5.77
8000,2000,10,5.89
8200,2000,10,6.12
8400,2000,10,6.38
8600,2000,10,6.58
8800,2000,10,7.46
9000,2000,10,7.37
9200,2000,10,7.58
9400,2000,10,7.87
9600,2000,10,8.25
9800,2000,10,8.59
10000,2000,10,9.38
