"","ID1","ID2","kin","k0","k2","nsnp"
"3824","NA19193","NA19207",-0.000649214642641671,0.999522753635172,-0.00307410493539515,2673376
"3825","NA19193","NA19208",-0.00814135060172899,1.03590857960356,0.0033431771966483,2734057
"3826","NA19193","NA19209",-0.000877155327441308,1.00461279604816,0.00110417473839715,2667810
"3827","NA19193","NA19210",-0.0077234959388898,1.03147515020826,0.000581166452701476,2737816
"3828","NA19193","NA19211",-0.00569647587940174,1.02490762960402,0.00212172608641299,2709229
"3829","NA19193","NA19221",-0.0147949400062629,1.06083209915723,0.00165233913218084,2775298
"3830","NA19193","NA19222",-0.0126207275985713,1.04503553560763,-0.00544737478665995,2765277
"3831","NA19193","NA19223",-0.0092902747899311,1.04267288256845,0.00551178340873009,2732897
"3832","NA19193","NA19238",-0.00386876714588853,1.0176910169139,0.00221594833034237,2643029
"3833","NA19193","NA19239",0.00275845480751544,0.986330539737402,-0.00263564103253592,2611732
"3834","NA19193","NA19240",-0.000384446467890525,1.00321866664008,0.00168088076851524,2645046
"3835","NA19194","NA19200",-0.0142791476492882,1.08500197199313,0.0278853813959794,2809888
"3836","NA19194","NA19201",-0.0236539068753353,1.09307188204921,-0.00154374545213121,2654869
"3837","NA19194","NA19202",-0.0212923377511416,1.08979120392886,0.00462185292429237,2767035
"3838","NA19194","NA19203",-0.0122097946541527,1.0814858414691,0.0326466628524869,2783777
"3839","NA19194","NA19204",-0.00538257083727946,1.02388316838424,0.00235288503512047,2613162
"3840","NA19194","NA19205",-0.0088495076450133,1.07146478469654,0.0360667541164853,2712008
"3841","NA19194","NA19206",-0.010220576571935,1.04585557341244,0.00497326712470009,2831107
"3842","NA19194","NA19207",-0.00776167102385679,1.06072726250946,0.0296805784140331,2724832
"3843","NA19194","NA19208",-0.0132552586368676,1.08404541405984,0.0310243795123681,2787074
"3844","NA19194","NA19209",-0.00633587327215977,1.02791211117275,0.00256861808410952,2720979
"3845","NA19194","NA19210",-0.0139815204206756,1.08638120729367,0.0304551256109645,2777926
"3846","NA19194","NA19211",-0.0119741998345584,1.07973341173386,0.0318366123956289,2759165
"3847","NA19194","NA19221",-0.0171854841112245,1.07121215566448,0.00247021921957867,2818007
"3848","NA19194","NA19222",-0.0136005646937635,1.05777563190407,0.00337337312901825,2791943
"3849","NA19194","NA19223",-0.0104905736944462,1.07488309032856,0.0329207955507782,2768588
"3850","NA19194","NA19238",-0.0097047506937375,1.03973313896742,0.000914136192465625,2690235
"3851","NA19194","NA19239",-0.00378434648330875,1.04523180023641,0.0300944143031754,2663193
"3852","NA19194","NA19240",-0.00915938444079028,1.03567523025111,-0.000962307512053716,2694400
"3853","NA19200","NA19201",-0.0196358415348619,1.07839875434083,-0.000144611798616824,2649696
"3854","NA19200","NA19202",0.242931164067727,0.0113154896942482,-0.0155723706089082,2766799
"3855","NA19200","NA19203",-0.00816395064028275,1.06409194063821,0.0314361380770834,2762852
"3856","NA19200","NA19204",0.00484937144410108,0.979398133926627,-0.00120438029696877,2597877
"3857","NA19200","NA19205",-0.00377067067303522,1.04855165085586,0.0334689681637234,2694907
"3858","NA19200","NA19206",-0.00993003579364732,1.04388717722032,0.00416703404572852,2816862
"3859","NA19200","NA19207",0.00145055860990539,1.02256438651804,0.0283666209576617,2717937
"3860","NA19200","NA19208",-0.00582795100662707,1.05593691120403,0.0326251071775259,2778351
"3861","NA19200","NA19209",-0.00027768671082441,1.00061404348452,-0.000496703358776144,2719393
