samples,variants,populations,walltime
3200,1200,10,0.97
3200,1400,10,0.98
3200,1600,10,1.06
3200,1800,10,1.02
3200,2000,10,1.13
3200,2200,10,1.20
3200,2400,10,1.23
3200,2600,10,1.33
3200,2800,10,1.50
3200,3000,10,1.50
3200,3200,10,1.49
3200,3400,10,1.68
3200,3600,10,1.67
3200,3800,10,1.61
3200,4000,10,1.82
3200,4200,10,1.88
3200,4400,10,2.04
3200,4600,10,2.10
3200,4800,10,2.03
3200,5000,10,2.15
3400,1000,10,0.94
3400,1200,10,0.98
3400,1400,10,1.03
3400,1600,10,1.18
3400,1800,10,1.17
3400,2000,10,1.25
3400,2200,10,1.27
3400,2400,10,1.41
3400,2600,10,1.58
3400,2800,10,1.63
3400,3000,10,1.64
3400,3200,10,1.65
3400,3400,10,1.73
3400,3600,10,1.82
3400,3800,10,1.90
3400,4000,10,1.90
3400,4200,10,2.02
3400,4400,10,2.12
3400,4600,10,2.29
3400,4800,10,2.33
3400,5000,10,2.41
3600,1000,10,1.07
3600,1200,10,1.09
3600,1400,10,1.11
3600,1600,10,1.09
3600,1800,10,1.19
3600,2000,10,1.35
3600,2200,10,1.47
3600,2400,10,1.51
3600,2600,10,1.64
3600,2800,10,1.55
3600,3000,10,1.65
3600,3200,10,1.66
3600,3400,10,1.94
3600,3600,10,1.99
3600,3800,10,2.09
3600,4000,10,2.13
3600,4200,10,2.24
3600,4400,10,2.39
3600,4600,10,2.39
3600,4800,10,2.41
3600,5000,10,2.48
3800,1000,10,1.03
3800,1200,10,1.14
3800,1400,10,1.16
3800,1600,10,1.22
3800,1800,10,1.86
3800,2000,10,1.43
3800,2200,10,1.52
3800,2400,10,1.63
3800,2600,10,1.71
3800,2800,10,1.63
3800,3000,10,1.82
3800,3200,10,1.87
3800,3400,10,2.15
3800,3600,10,2.16
3800,3800,10,2.08
3800,4000,10,2.25
3800,4200,10,2.33
3800,4400,10,2.44
3800,4600,10,2.72
3800,4800,10,2.75
3800,5000,10,2.76
4000,1000,10,1.12
4000,1200,10,1.19
4000,1400,10,1.29
4000,1600,10,1.42
4000,1800,10,1.37
4000,2000,10,1.54
4000,2200,10,1.65
4000,2400,10,1.73
4000,2600,10,1.92
4000,2800,10,1.84
4000,3000,10,1.84
4000,3200,10,2.29
4000,3400,10,2.28
4000,3600,10,2.33
4000,3800,10,2.27
4000,4000,10,2.52
4000,4200,10,2.66
4000,4400,10,2.66
4000,4600,10,2.73
4000,4800,10,2.88
4000,5000,10,2.85
4200,1000,10,1.22
4200,1200,10,1.24
4200,1400,10,1.39
4200,1600,10,1.40
4200,1800,10,1.55
4200,2000,10,1.71
4200,2200,10,1.81
4200,2400,10,1.85
4200,2600,10,1.98
4200,2800,10,2.06
4200,3000,10,2.09
4200,3200,10,2.26
4200,3400,10,2.43
4200,3600,10,2.47
4200,3800,10,2.54
4200,4000,10,2.73
4200,4200,10,2.77
4200,4400,10,2.83
4200,4600,10,2.94
4200,4800,10,3.10
4200,5000,10,3.09
4400,1000,10,1.25
4400,1200,10,1.16
4400,1400,10,1.30
4400,1600,10,1.47
4400,1800,10,1.64
4400,2000,10,1.74
4400,2200,10,1.86
4400,2400,10,2.06
4400,2600,10,2.03
4400,2800,10,2.22
4400,3000,10,2.31
4400,3200,10,2.41
4400,3400,10,2.51
4400,3600,10,2.57
4400,3800,10,2.71
4400,4000,10,2.87
4400,4200,10,2.85
4400,4400,10,2.93
4400,4600,10,3.03
4400,4800,10,3.18
4400,5000,10,3.35
4600,1000,10,1.28
4600,1200,10,1.42
4600,1400,10,1.47
4600,1600,10,1.57
4600,1800,10,1.73
4600,2000,10,1.78
4600,2200,10,2.02
4600,2400,10,2.06
4600,2600,10,2.16
4600,2800,10,2.22
4600,3000,10,2.39
4600,3200,10,2.52
4600,3400,10,2.49
4600,3600,10,2.75
4600,3800,10,2.91
4600,4000,10,2.85
4600,4200,10,3.21
4600,4400,10,3.15
4600,4600,10,3.23
4600,4800,10,3.35
4600,5000,10,3.55
4800,1000,10,1.50
4800,1200,10,1.51
4800,1400,10,1.61
4800,1600,10,1.66
4800,1800,10,1.94
4800,2000,10,1.98
4800,2200,10,2.00
4800,2400,10,2.40
4800,2600,10,2.35
4800,2800,10,2.45
4800,3000,10,2.72
4800,3200,10,2.67
4800,3400,10,2.94
4800,3600,10,2.99
4800,3800,10,3.33
4800,4000,10,3.20
4800,4200,10,3.46
4800,4400,10,3.51
4800,4600,10,3.57
4800,4800,10,3.68
4800,5000,10,3.58
5000,1000,10,1.32
5000,1200,10,1.58
5000,1400,10,1.74
5000,1600,10,1.89
5000,1800,10,1.85
5000,2000,10,2.07
5000,2200,10,2.09
5000,2400,10,2.35
5000,2600,10,2.48
5000,2800,10,2.73
5000,3000,10,2.64
5000,3200,10,2.76
5000,3400,10,3.04
5000,3600,10,3.07
5000,3800,10,3.16
5000,4000,10,3.34
5000,4200,10,3.52
5000,4400,10,3.78
5000,4600,10,3.84
5000,4800,10,3.82
5000,5000,10,3.87
