i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18516"}	{"s":"NA19143"}	-1.2103e-02	1.0462e+00	-4.4081e-02	-2.1659e-03
{"s":"NA18516"}	{"s":"NA19144"}	-7.0917e-03	1.0590e+00	-8.9725e-02	3.0679e-02
{"s":"NA18516"}	{"s":"NA19145"}	-1.2803e-02	1.0837e+00	-1.1629e-01	3.2537e-02
{"s":"NA18516"}	{"s":"NA19152"}	-1.2267e-02	1.0479e+00	-4.6699e-02	-1.1836e-03
{"s":"NA18516"}	{"s":"NA19153"}	-2.3623e-03	1.0416e+00	-7.3697e-02	3.2124e-02
{"s":"NA18516"}	{"s":"NA19154"}	-8.1071e-03	1.0644e+00	-9.6349e-02	3.1960e-02
{"s":"NA18516"}	{"s":"NA19159"}	-6.3267e-03	1.0224e+00	-1.9448e-02	-2.9292e-03
{"s":"NA18516"}	{"s":"NA19160"}	-5.7888e-03	1.0486e+00	-7.4114e-02	2.5479e-02
{"s":"NA18516"}	{"s":"NA19161"}	-6.8430e-03	1.0595e+00	-9.1646e-02	3.2137e-02
{"s":"NA18516"}	{"s":"NA19171"}	-4.5943e-03	1.0503e+00	-8.2301e-02	3.1962e-02
{"s":"NA18516"}	{"s":"NA19172"}	-9.3451e-03	1.0388e+00	-4.0304e-02	1.4619e-03
{"s":"NA18516"}	{"s":"NA19173"}	-1.2751e-02	1.0791e+00	-1.0720e-01	2.8099e-02
{"s":"NA18516"}	{"s":"NA19192"}	-8.7405e-03	1.0681e+00	-1.0126e-01	3.3147e-02
{"s":"NA18516"}	{"s":"NA19193"}	-5.4585e-03	1.0220e+00	-2.2122e-02	1.4384e-04
{"s":"NA18516"}	{"s":"NA19194"}	-9.1869e-03	1.0668e+00	-9.6939e-02	3.0096e-02
{"s":"NA18516"}	{"s":"NA19200"}	-5.3423e-03	1.0536e+00	-8.5820e-02	3.2225e-02
{"s":"NA18516"}	{"s":"NA19201"}	-7.9943e-03	1.0351e+00	-3.8154e-02	3.0884e-03
{"s":"NA18516"}	{"s":"NA19202"}	-9.4381e-03	1.0402e+00	-4.2601e-02	2.4244e-03
{"s":"NA18516"}	{"s":"NA19203"}	-3.4112e-03	1.0450e+00	-7.6389e-02	3.1372e-02
{"s":"NA18516"}	{"s":"NA19204"}	-9.0810e-04	1.0055e+00	-7.3689e-03	1.8683e-03
{"s":"NA18516"}	{"s":"NA19205"}	-6.3830e-03	1.0552e+00	-8.4796e-02	2.9632e-02
{"s":"NA18516"}	{"s":"NA19206"}	-6.8324e-03	1.0267e+00	-2.6121e-02	-6.0456e-04
{"s":"NA18516"}	{"s":"NA19207"}	-6.4364e-03	1.0617e+00	-9.7576e-02	3.5915e-02
{"s":"NA18516"}	{"s":"NA19208"}	-8.8443e-03	1.0651e+00	-9.4833e-02	2.9728e-02
{"s":"NA18516"}	{"s":"NA19209"}	-9.0977e-03	1.0330e+00	-2.9707e-02	-3.3420e-03
{"s":"NA18516"}	{"s":"NA19210"}	-5.7580e-03	1.0539e+00	-8.4698e-02	3.0833e-02
{"s":"NA18516"}	{"s":"NA19211"}	-9.8106e-03	1.0699e+00	-1.0057e-01	3.0663e-02
{"s":"NA18516"}	{"s":"NA19221"}	-7.8199e-03	1.0327e+00	-3.4192e-02	1.4559e-03
{"s":"NA18516"}	{"s":"NA19222"}	-7.5366e-03	1.0328e+00	-3.5396e-02	2.6249e-03
{"s":"NA18516"}	{"s":"NA19223"}	-5.8475e-03	1.0525e+00	-8.1532e-02	2.9071e-02
{"s":"NA18516"}	{"s":"NA19238"}	-9.6750e-03	1.0424e+00	-4.6067e-02	3.6832e-03
{"s":"NA18516"}	{"s":"NA19239"}	-1.0359e-02	1.0755e+00	-1.0961e-01	3.4087e-02
{"s":"NA18516"}	{"s":"NA19240"}	-1.6937e-02	1.0672e+00	-6.6618e-02	-5.6588e-04
{"s":"NA18517"}	{"s":"NA18521"}	-7.8719e-04	1.0077e+00	-1.2285e-02	4.5682e-03
{"s":"NA18517"}	{"s":"NA18522"}	-1.7561e-03	1.0055e+00	-4.0051e-03	-1.5097e-03
{"s":"NA18517"}	{"s":"NA18523"}	-4.6687e-04	1.0023e+00	-2.6794e-03	4.0596e-04
{"s":"NA18517"}	{"s":"NA18852"}	-7.6398e-03	1.0310e+00	-3.1455e-02	4.4793e-04
{"s":"NA18517"}	{"s":"NA18853"}	-7.0089e-03	1.0271e+00	-2.6193e-02	-9.2099e-04
{"s":"NA18517"}	{"s":"NA18854"}	-1.1766e-02	1.0478e+00	-4.8477e-02	7.0562e-04
{"s":"NA18517"}	{"s":"NA18855"}	-1.7343e-02	1.0676e+00	-6.5735e-02	-1.8189e-03
{"s":"NA18517"}	{"s":"NA18856"}	-6.7279e-03	1.0302e+00	-3.3532e-02	3.3102e-03
{"s":"NA18517"}	{"s":"NA18857"}	-1.6392e-02	1.0625e+00	-5.9390e-02	-3.0884e-03
{"s":"NA18517"}	{"s":"NA18858"}	2.3968e-03	9.9460e-01	1.2091e-03	4.1890e-03
{"s":"NA18517"}	{"s":"NA18859"}	-6.1576e-03	1.0268e+00	-2.8890e-02	2.1297e-03
{"s":"NA18517"}	{"s":"NA18860"}	-1.4974e-03	1.0031e+00	-1.9603e-04	-2.8968e-03
{"s":"NA18517"}	{"s":"NA18861"}	-8.3456e-03	1.0321e+00	-3.0864e-02	-1.2589e-03
{"s":"NA18517"}	{"s":"NA18862"}	-4.3523e-03	1.0199e+00	-2.2395e-02	2.4931e-03
{"s":"NA18517"}	{"s":"NA18863"}	-9.8485e-03	1.0432e+00	-4.6915e-02	3.7606e-03
{"s":"NA18517"}	{"s":"NA18870"}	3.3521e-03	9.8535e-01	1.5889e-02	-1.2403e-03
{"s":"NA18517"}	{"s":"NA18871"}	-4.2217e-03	1.0180e+00	-1.9207e-02	1.1599e-03
{"s":"NA18517"}	{"s":"NA18872"}	-4.4477e-04	1.0052e+00	-8.6825e-03	3.4517e-03
{"s":"NA18517"}	{"s":"NA18912"}	-3.9937e-03	1.0172e+00	-1.8423e-02	1.2241e-03
{"s":"NA18517"}	{"s":"NA18913"}	-4.8382e-03	1.0180e+00	-1.6731e-02	-1.3110e-03
{"s":"NA18517"}	{"s":"NA18914"}	-7.6366e-03	1.0274e+00	-2.4243e-02	-3.1515e-03
{"s":"NA18517"}	{"s":"NA19092"}	-3.0465e-02	1.1194e+00	-1.1699e-01	-2.4343e-03
{"s":"NA18517"}	{"s":"NA19093"}	-2.6990e-02	1.1100e+00	-1.1206e-01	2.0479e-03
{"s":"NA18517"}	{"s":"NA19094"}	-4.0374e-02	1.1674e+00	-1.7328e-01	5.8940e-03
{"s":"NA18517"}	{"s":"NA19098"}	-1.4675e-02	1.0632e+00	-6.7756e-02	4.5284e-03
{"s":"NA18517"}	{"s":"NA19099"}	-2.0371e-02	1.0849e+00	-8.8338e-02	3.4271e-03
{"s":"NA18517"}	{"s":"NA19100"}	-2.2424e-02	1.0913e+00	-9.2938e-02	1.6213e-03
{"s":"NA18517"}	{"s":"NA19101"}	-3.2838e-02	1.1419e+00	-1.5239e-01	1.0520e-02
{"s":"NA18517"}	{"s":"NA19102"}	-1.1482e-02	1.0455e+00	-4.5075e-02	-4.2667e-04
{"s":"NA18517"}	{"s":"NA19103"}	-2.8979e-02	1.1146e+00	-1.1337e-01	-1.2751e-03
{"s":"NA18517"}	{"s":"NA19116"}	-5.4878e-03	1.0225e+00	-2.2965e-02	5.0678e-04
{"s":"NA18517"}	{"s":"NA19119"}	-6.8949e-03	1.0263e+00	-2.4924e-02	-1.3279e-03
{"s":"NA18517"}	{"s":"NA19120"}	-9.4160e-03	1.0381e+00	-3.8613e-02	4.7448e-04
{"s":"NA18517"}	{"s":"NA19127"}	-2.4514e-02	1.0988e+00	-9.9458e-02	7.0185e-04
{"s":"NA18517"}	{"s":"NA19128"}	-1.8708e-02	1.0811e+00	-8.7327e-02	6.2470e-03
{"s":"NA18517"}	{"s":"NA19129"}	-2.8442e-02	1.1178e+00	-1.2191e-01	4.0729e-03
{"s":"NA18517"}	{"s":"NA19130"}	-1.2701e-02	1.0479e+00	-4.5039e-02	-2.8816e-03
{"s":"NA18517"}	{"s":"NA19131"}	-2.6552e-03	1.0119e+00	-1.3109e-02	1.2439e-03
{"s":"NA18517"}	{"s":"NA19132"}	-1.1364e-02	1.0463e+00	-4.7237e-02	8.8940e-04
{"s":"NA18517"}	{"s":"NA19137"}	-1.5683e-02	1.0683e+00	-7.3835e-02	5.5518e-03
{"s":"NA18517"}	{"s":"NA19138"}	-8.0578e-03	1.0321e+00	-3.2008e-02	-1.1149e-04
{"s":"NA18517"}	{"s":"NA19139"}	-1.6926e-02	1.0666e+00	-6.5400e-02	-1.1513e-03
{"s":"NA18517"}	{"s":"NA19140"}	-9.4720e-03	1.0393e+00	-4.0792e-02	1.4518e-03
{"s":"NA18517"}	{"s":"NA19141"}	-1.7197e-02	1.0665e+00	-6.4284e-02	-2.2515e-03
{"s":"NA18517"}	{"s":"NA19142"}	-1.4889e-02	1.0565e+00	-5.3389e-02	-3.0836e-03
{"s":"NA18517"}	{"s":"NA19143"}	-7.7434e-03	1.0276e+00	-2.4249e-02	-3.3623e-03
{"s":"NA18517"}	{"s":"NA19144"}	-3.0687e-03	1.0128e+00	-1.3297e-02	5.1126e-04
{"s":"NA18517"}	{"s":"NA19145"}	-8.5710e-03	1.0365e+00	-3.8806e-02	2.2611e-03
{"s":"NA18517"}	{"s":"NA19152"}	-8.8202e-03	1.0308e+00	-2.6244e-02	-4.5183e-03
{"s":"NA18517"}	{"s":"NA19153"}	-2.6315e-03	1.0155e+00	-2.0490e-02	4.9823e-03
{"s":"NA18517"}	{"s":"NA19154"}	-7.5074e-03	1.0296e+00	-2.9263e-02	-3.8322e-04
{"s":"NA18517"}	{"s":"NA19159"}	-5.5810e-03	1.0237e+00	-2.5143e-02	1.4095e-03
{"s":"NA18517"}	{"s":"NA19160"}	-1.0389e-02	1.0493e+00	-5.6964e-02	7.7048e-03
{"s":"NA18517"}	{"s":"NA19161"}	-1.0131e-02	1.0442e+00	-4.7893e-02	3.6838e-03
{"s":"NA18517"}	{"s":"NA19171"}	6.4510e-03	9.7107e-01	3.2055e-02	-3.1255e-03
{"s":"NA18517"}	{"s":"NA19172"}	-1.2184e-02	1.0513e+00	-5.3927e-02	2.5963e-03
{"s":"NA18517"}	{"s":"NA19173"}	-6.1683e-03	1.0299e+00	-3.5156e-02	5.2414e-03
{"s":"NA18517"}	{"s":"NA19192"}	-1.2493e-02	1.0536e+00	-5.7249e-02	3.6389e-03
{"s":"NA18517"}	{"s":"NA19193"}	-5.1857e-03	1.0218e+00	-2.2870e-02	1.0633e-03
{"s":"NA18517"}	{"s":"NA19194"}	-1.2518e-02	1.0521e+00	-5.4181e-02	2.0542e-03
{"s":"NA18517"}	{"s":"NA19200"}	-1.0714e-02	1.0457e+00	-4.8488e-02	2.8168e-03
{"s":"NA18517"}	{"s":"NA19201"}	-1.4187e-02	1.0574e+00	-5.7981e-02	6.1641e-04
{"s":"NA18517"}	{"s":"NA19202"}	-1.9045e-02	1.0750e+00	-7.3836e-02	-1.1722e-03
{"s":"NA18517"}	{"s":"NA19203"}	4.1923e-04	1.0002e+00	-2.0264e-03	1.8517e-03
{"s":"NA18517"}	{"s":"NA19204"}	5.6296e-03	9.7914e-01	1.9205e-02	1.6569e-03
{"s":"NA18517"}	{"s":"NA19205"}	3.9309e-03	9.8801e-01	8.2557e-03	3.7339e-03
{"s":"NA18517"}	{"s":"NA19206"}	-7.4354e-03	1.0337e+00	-3.7659e-02	3.9589e-03
{"s":"NA18517"}	{"s":"NA19207"}	-4.4389e-03	1.0209e+00	-2.4028e-02	3.1363e-03
{"s":"NA18517"}	{"s":"NA19208"}	-7.9759e-03	1.0332e+00	-3.4469e-02	1.2827e-03
{"s":"NA18517"}	{"s":"NA19209"}	-1.9952e-03	1.0090e+00	-9.9396e-03	9.7935e-04
{"s":"NA18517"}	{"s":"NA19210"}	-1.8420e-03	1.0127e+00	-1.8090e-02	5.3610e-03
{"s":"NA18517"}	{"s":"NA19211"}	-2.6540e-03	1.0128e+00	-1.5070e-02	2.2269e-03
{"s":"NA18517"}	{"s":"NA19221"}	-7.7872e-03	1.0326e+00	-3.4090e-02	1.4709e-03
{"s":"NA18517"}	{"s":"NA19222"}	-1.1004e-02	1.0443e+00	-4.4516e-02	2.5069e-04
{"s":"NA18517"}	{"s":"NA19223"}	6.1674e-05	9.9944e-01	8.8108e-04	-3.1719e-04
{"s":"NA18517"}	{"s":"NA19238"}	-5.8896e-03	1.0264e+00	-2.9196e-02	2.8189e-03
{"s":"NA18517"}	{"s":"NA19239"}	-8.3813e-05	1.0003e+00	-2.4878e-04	-4.3236e-05
{"s":"NA18517"}	{"s":"NA19240"}	-2.4357e-03	1.0105e+00	-1.1293e-02	7.7534e-04
{"s":"NA18521"}	{"s":"NA18522"}	2.0307e-01	1.7066e-01	8.1527e-01	1.4075e-02
{"s":"NA18521"}	{"s":"NA18523"}	2.3132e-01	1.1873e-02	1.0062e+00	-1.8055e-02
{"s":"NA18521"}	{"s":"NA18852"}	-1.8885e-02	1.0772e+00	-7.8927e-02	1.6937e-03
{"s":"NA18521"}	{"s":"NA18853"}	-2.3494e-03	1.0393e+00	-6.9167e-02	2.9885e-02
{"s":"NA18521"}	{"s":"NA18854"}	-1.5421e-02	1.0946e+00	-1.2752e-01	3.2919e-02
{"s":"NA18521"}	{"s":"NA18855"}	-5.6483e-03	1.0240e+00	-2.5397e-02	1.4020e-03
{"s":"NA18521"}	{"s":"NA18856"}	-3.2603e-03	1.0469e+00	-8.0673e-02	3.3816e-02
{"s":"NA18521"}	{"s":"NA18857"}	-6.8386e-03	1.0637e+00	-1.0009e-01	3.6366e-02
{"s":"NA18521"}	{"s":"NA18858"}	-3.0708e-02	1.1253e+00	-1.2767e-01	2.4220e-03
{"s":"NA18521"}	{"s":"NA18859"}	-3.5478e-02	1.1773e+00	-2.1271e-01	3.5400e-02
{"s":"NA18521"}	{"s":"NA18860"}	-4.1843e-02	1.2017e+00	-2.3607e-01	3.4350e-02
{"s":"NA18521"}	{"s":"NA18861"}	-1.2898e-02	1.0534e+00	-5.5209e-02	1.8087e-03
{"s":"NA18521"}	{"s":"NA18862"}	-1.0431e-02	1.0758e+00	-1.0987e-01	3.4074e-02
{"s":"NA18521"}	{"s":"NA18863"}	-1.4871e-02	1.0895e+00	-1.1942e-01	2.9965e-02
{"s":"NA18521"}	{"s":"NA18870"}	-3.3290e-02	1.1314e+00	-1.2963e-01	-1.7653e-03
{"s":"NA18521"}	{"s":"NA18871"}	-3.9111e-02	1.1929e+00	-2.2933e-01	3.6443e-02
{"s":"NA18521"}	{"s":"NA18872"}	-4.6488e-02	1.2267e+00	-2.6741e-01	4.0731e-02
{"s":"NA18521"}	{"s":"NA18912"}	-1.2788e-02	1.0518e+00	-5.2377e-02	6.1139e-04
{"s":"NA18521"}	{"s":"NA18913"}	-5.7462e-03	1.0541e+00	-8.5224e-02	3.1120e-02
{"s":"NA18521"}	{"s":"NA18914"}	-1.1825e-02	1.0816e+00	-1.1593e-01	3.4315e-02
{"s":"NA18521"}	{"s":"NA19092"}	2.6277e-02	9.2792e-01	3.9060e-02	3.3025e-02
{"s":"NA18521"}	{"s":"NA19093"}	1.6486e-02	9.3745e-01	5.9160e-02	3.3918e-03
{"s":"NA18521"}	{"s":"NA19094"}	4.1777e-02	8.3882e-01	1.5525e-01	5.9269e-03
{"s":"NA18521"}	{"s":"NA19098"}	-1.9556e-02	1.1090e+00	-1.3984e-01	3.0810e-02
{"s":"NA18521"}	{"s":"NA19099"}	-3.0947e-02	1.1272e+00	-1.3056e-01	3.3880e-03
{"s":"NA18521"}	{"s":"NA19100"}	-2.9209e-02	1.1206e+00	-1.2443e-01	3.7944e-03
{"s":"NA18521"}	{"s":"NA19101"}	3.6775e-02	8.9145e-01	6.9990e-02	3.8555e-02
{"s":"NA18521"}	{"s":"NA19102"}	-3.9272e-02	1.1569e+00	-1.5667e-01	-2.0861e-04
{"s":"NA18521"}	{"s":"NA19103"}	-3.6276e-03	1.0478e+00	-8.1171e-02	3.3330e-02
{"s":"NA18521"}	{"s":"NA19116"}	-2.8113e-02	1.1151e+00	-1.1783e-01	2.6864e-03
{"s":"NA18521"}	{"s":"NA19119"}	-1.5316e-02	1.0925e+00	-1.2381e-01	3.1276e-02
{"s":"NA18521"}	{"s":"NA19120"}	-3.1544e-02	1.1579e+00	-1.8957e-01	3.1695e-02
{"s":"NA18521"}	{"s":"NA19127"}	2.1516e-02	9.1718e-01	7.9579e-02	3.2421e-03
{"s":"NA18521"}	{"s":"NA19128"}	-1.0035e-02	1.0724e+00	-1.0471e-01	3.2284e-02
{"s":"NA18521"}	{"s":"NA19129"}	5.6729e-03	9.7797e-01	2.1371e-02	6.6006e-04
{"s":"NA18521"}	{"s":"NA19130"}	-5.3234e-03	1.0505e+00	-7.9621e-02	2.9164e-02
{"s":"NA18521"}	{"s":"NA19131"}	-4.0534e-02	1.1659e+00	-1.6964e-01	3.7538e-03
{"s":"NA18521"}	{"s":"NA19132"}	-2.9394e-02	1.1177e+00	-1.1792e-01	1.7094e-04
{"s":"NA18521"}	{"s":"NA19137"}	7.1916e-03	9.7634e-01	1.8562e-02	5.1024e-03
{"s":"NA18521"}	{"s":"NA19138"}	7.8650e-03	1.0022e+00	-3.5927e-02	3.3693e-02
{"s":"NA18521"}	{"s":"NA19139"}	6.2862e-03	1.0073e+00	-3.9757e-02	3.2451e-02
{"s":"NA18521"}	{"s":"NA19140"}	8.2344e-04	9.9836e-01	-1.8747e-05	1.6563e-03
{"s":"NA18521"}	{"s":"NA19141"}	3.8444e-02	8.7424e-01	9.7744e-02	2.8016e-02
{"s":"NA18521"}	{"s":"NA19142"}	2.0019e-02	9.4920e-01	2.1516e-02	2.9281e-02
{"s":"NA18521"}	{"s":"NA19143"}	4.9753e-03	9.8211e-01	1.5871e-02	2.0149e-03
{"s":"NA18521"}	{"s":"NA19144"}	-2.8905e-04	1.0341e+00	-6.7105e-02	3.2974e-02
{"s":"NA18521"}	{"s":"NA19145"}	3.5250e-03	1.0152e+00	-4.4516e-02	2.9308e-02
{"s":"NA18521"}	{"s":"NA19152"}	1.6241e-02	9.3688e-01	6.1272e-02	1.8467e-03
{"s":"NA18521"}	{"s":"NA19153"}	-3.4649e-02	1.1720e+00	-2.0532e-01	3.3361e-02
{"s":"NA18521"}	{"s":"NA19154"}	-1.1586e-02	1.0773e+00	-1.0820e-01	3.0926e-02
{"s":"NA18521"}	{"s":"NA19159"}	-2.5893e-02	1.1024e+00	-1.0115e-01	-1.2125e-03
{"s":"NA18521"}	{"s":"NA19160"}	-1.2518e-02	1.0797e+00	-1.0933e-01	2.9631e-02
{"s":"NA18521"}	{"s":"NA19161"}	-2.5414e-02	1.1283e+00	-1.5496e-01	2.6653e-02
{"s":"NA18521"}	{"s":"NA19171"}	-1.4512e-02	1.0915e+00	-1.2492e-01	3.3436e-02
{"s":"NA18521"}	{"s":"NA19172"}	-1.2528e-02	1.0453e+00	-4.0489e-02	-4.8109e-03
{"s":"NA18521"}	{"s":"NA19173"}	-1.7461e-02	1.1019e+00	-1.3395e-01	3.2052e-02
{"s":"NA18521"}	{"s":"NA19192"}	-1.1369e-02	1.0788e+00	-1.1221e-01	3.3369e-02
{"s":"NA18521"}	{"s":"NA19193"}	-2.5262e-02	1.1053e+00	-1.0947e-01	4.2112e-03
{"s":"NA18521"}	{"s":"NA19194"}	-2.3778e-02	1.1254e+00	-1.5571e-01	3.0300e-02
{"s":"NA18521"}	{"s":"NA19200"}	-1.7939e-02	1.1018e+00	-1.3184e-01	3.0042e-02
{"s":"NA18521"}	{"s":"NA19201"}	-3.9540e-02	1.1623e+00	-1.6639e-01	4.1170e-03
{"s":"NA18521"}	{"s":"NA19202"}	-3.5263e-02	1.1417e+00	-1.4230e-01	6.2512e-04
{"s":"NA18521"}	{"s":"NA19203"}	-2.3602e-02	1.1258e+00	-1.5722e-01	3.1406e-02
{"s":"NA18521"}	{"s":"NA19204"}	-1.2811e-02	1.0506e+00	-4.9872e-02	-6.8511e-04
{"s":"NA18521"}	{"s":"NA19205"}	-2.1926e-02	1.1193e+00	-1.5082e-01	3.1556e-02
{"s":"NA18521"}	{"s":"NA19206"}	-1.0385e-02	1.0438e+00	-4.6147e-02	2.3037e-03
{"s":"NA18521"}	{"s":"NA19207"}	2.6703e-03	1.0272e+00	-6.5078e-02	3.7880e-02
{"s":"NA18521"}	{"s":"NA19208"}	-5.2036e-03	1.0583e+00	-9.5761e-02	3.7473e-02
{"s":"NA18521"}	{"s":"NA19209"}	3.2961e-03	9.8756e-01	1.1703e-02	7.4077e-04
{"s":"NA18521"}	{"s":"NA19210"}	-1.4819e-02	1.0907e+00	-1.2204e-01	3.1380e-02
{"s":"NA18521"}	{"s":"NA19211"}	-5.5891e-03	1.0518e+00	-8.1321e-02	2.9483e-02
{"s":"NA18521"}	{"s":"NA19221"}	-2.6115e-02	1.1020e+00	-9.9475e-02	-2.4926e-03
{"s":"NA18521"}	{"s":"NA19222"}	-1.8519e-02	1.0719e+00	-6.9664e-02	-2.2064e-03
{"s":"NA18521"}	{"s":"NA19223"}	-2.1335e-02	1.1199e+00	-1.5451e-01	3.4588e-02
{"s":"NA18521"}	{"s":"NA19238"}	-2.4721e-03	1.0104e+00	-1.0880e-02	4.9561e-04
{"s":"NA18521"}	{"s":"NA19239"}	1.2333e-02	9.7954e-01	-8.4223e-03	2.8878e-02
{"s":"NA18521"}	{"s":"NA19240"}	5.1391e-03	9.7761e-01	2.4221e-02	-1.8322e-03
{"s":"NA18522"}	{"s":"NA18523"}	-2.7109e-02	1.1114e+00	-1.1435e-01	2.9564e-03
{"s":"NA18522"}	{"s":"NA18852"}	-1.7206e-02	1.0747e+00	-8.0629e-02	5.9025e-03
{"s":"NA18522"}	{"s":"NA18853"}	-1.5009e-03	1.0413e+00	-7.6668e-02	3.5332e-02
{"s":"NA18522"}	{"s":"NA18854"}	-1.6292e-02	1.1022e+00	-1.3933e-01	3.7081e-02
{"s":"NA18522"}	{"s":"NA18855"}	-1.0395e-02	1.0386e+00	-3.5630e-02	-2.9743e-03
{"s":"NA18522"}	{"s":"NA18856"}	1.6529e-03	1.0252e+00	-5.6969e-02	3.1790e-02
{"s":"NA18522"}	{"s":"NA18857"}	-7.5785e-03	1.0629e+00	-9.5573e-02	3.2629e-02
{"s":"NA18522"}	{"s":"NA18858"}	-2.4003e-02	1.1015e+00	-1.0694e-01	5.4636e-03
{"s":"NA18522"}	{"s":"NA18859"}	-3.2393e-02	1.1596e+00	-1.8962e-01	3.0026e-02
{"s":"NA18522"}	{"s":"NA18860"}	-3.7992e-02	1.1913e+00	-2.3068e-01	3.9356e-02
{"s":"NA18522"}	{"s":"NA18861"}	-1.2201e-02	1.0499e+00	-5.0968e-02	1.0813e-03
{"s":"NA18522"}	{"s":"NA18862"}	-6.7059e-03	1.0566e+00	-8.6469e-02	2.9823e-02
{"s":"NA18522"}	{"s":"NA18863"}	-1.3001e-02	1.0776e+00	-1.0322e-01	2.5609e-02
{"s":"NA18522"}	{"s":"NA18870"}	-2.1977e-02	1.0867e+00	-8.5454e-02	-1.2261e-03
{"s":"NA18522"}	{"s":"NA18871"}	-3.7421e-02	1.1819e+00	-2.1410e-01	3.2210e-02
{"s":"NA18522"}	{"s":"NA18872"}	-4.0657e-02	1.1970e+00	-2.3132e-01	3.4346e-02
{"s":"NA18522"}	{"s":"NA18912"}	-9.3301e-03	1.0408e+00	-4.4283e-02	3.4811e-03
{"s":"NA18522"}	{"s":"NA18913"}	8.4212e-03	9.9804e-01	-2.9757e-02	3.1721e-02
{"s":"NA18522"}	{"s":"NA18914"}	-7.1437e-04	1.0359e+00	-6.8997e-02	3.3070e-02
{"s":"NA18522"}	{"s":"NA19092"}	2.0372e-02	9.4937e-01	1.9770e-02	3.0858e-02
{"s":"NA18522"}	{"s":"NA19093"}	1.3980e-02	9.4688e-01	5.0318e-02	2.8015e-03
{"s":"NA18522"}	{"s":"NA19094"}	3.0296e-02	8.8203e-01	1.1476e-01	3.2116e-03
{"s":"NA18522"}	{"s":"NA19098"}	-2.1019e-02	1.1136e+00	-1.4322e-01	2.9573e-02
{"s":"NA18522"}	{"s":"NA19099"}	-3.8594e-02	1.1572e+00	-1.6011e-01	2.8679e-03
{"s":"NA18522"}	{"s":"NA19100"}	-4.1732e-02	1.1688e+00	-1.7058e-01	1.8253e-03
{"s":"NA18522"}	{"s":"NA19101"}	2.1396e-02	9.4221e-01	2.9992e-02	2.7796e-02
{"s":"NA18522"}	{"s":"NA19102"}	-3.4405e-02	1.1432e+00	-1.4876e-01	5.5721e-03
{"s":"NA18522"}	{"s":"NA19103"}	-1.7531e-02	1.1016e+00	-1.3306e-01	3.1470e-02
{"s":"NA18522"}	{"s":"NA19116"}	-2.0974e-02	1.0927e+00	-1.0144e-01	8.7714e-03
{"s":"NA18522"}	{"s":"NA19119"}	-1.5458e-02	1.0945e+00	-1.2724e-01	3.2703e-02
{"s":"NA18522"}	{"s":"NA19120"}	-2.7367e-02	1.1465e+00	-1.8347e-01	3.7002e-02
{"s":"NA18522"}	{"s":"NA19127"}	9.0272e-03	9.6800e-01	2.7888e-02	4.1104e-03
{"s":"NA18522"}	{"s":"NA19128"}	-1.6542e-02	1.0986e+00	-1.3108e-01	3.2455e-02
{"s":"NA18522"}	{"s":"NA19129"}	-5.4109e-03	1.0242e+00	-2.6664e-02	2.5100e-03
{"s":"NA18522"}	{"s":"NA19130"}	-3.8181e-03	1.0454e+00	-7.5528e-02	3.0128e-02
{"s":"NA18522"}	{"s":"NA19131"}	-3.3721e-02	1.1376e+00	-1.4038e-01	2.7463e-03
{"s":"NA18522"}	{"s":"NA19132"}	-2.5267e-02	1.1058e+00	-1.1062e-01	4.7754e-03
{"s":"NA18522"}	{"s":"NA19137"}	6.0046e-03	9.7619e-01	2.3610e-02	2.0404e-04
{"s":"NA18522"}	{"s":"NA19138"}	5.1166e-03	1.0124e+00	-4.5233e-02	3.2850e-02
{"s":"NA18522"}	{"s":"NA19139"}	7.7300e-03	1.0036e+00	-3.8069e-02	3.4494e-02
{"s":"NA18522"}	{"s":"NA19140"}	6.4107e-03	9.7834e-01	1.7686e-02	3.9783e-03
{"s":"NA18522"}	{"s":"NA19141"}	3.7360e-02	8.8884e-01	7.2873e-02	3.8285e-02
{"s":"NA18522"}	{"s":"NA19142"}	2.6652e-02	9.2381e-01	4.5764e-02	3.0423e-02
{"s":"NA18522"}	{"s":"NA19143"}	6.9107e-03	9.7047e-01	3.1412e-02	-1.8849e-03
{"s":"NA18522"}	{"s":"NA19144"}	7.5143e-03	1.0045e+00	-3.9081e-02	3.4569e-02
{"s":"NA18522"}	{"s":"NA19145"}	9.6065e-03	9.9255e-01	-2.3520e-02	3.0973e-02
{"s":"NA18522"}	{"s":"NA19152"}	1.8098e-02	9.2157e-01	8.4465e-02	-6.0370e-03
{"s":"NA18522"}	{"s":"NA19153"}	-2.3705e-02	1.1224e+00	-1.4995e-01	2.7564e-02
{"s":"NA18522"}	{"s":"NA19154"}	-3.7844e-03	1.0494e+00	-8.3719e-02	3.4291e-02
{"s":"NA18522"}	{"s":"NA19159"}	-2.2680e-02	1.0919e+00	-9.3022e-02	1.1508e-03
{"s":"NA18522"}	{"s":"NA19160"}	-1.5784e-02	1.0986e+00	-1.3398e-01	3.5423e-02
{"s":"NA18522"}	{"s":"NA19161"}	-2.4815e-02	1.1325e+00	-1.6566e-01	3.3197e-02
{"s":"NA18522"}	{"s":"NA19171"}	-7.9684e-03	1.0626e+00	-9.3307e-02	3.0717e-02
