i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18500"}	{"s":"NA19131"}	6.4010e-03	9.7348e-01	2.7441e-02	-9.1851e-04
{"s":"NA18500"}	{"s":"NA19132"}	-5.9756e-03	1.0288e+00	-3.3641e-02	4.8692e-03
{"s":"NA18500"}	{"s":"NA19137"}	-4.8018e-03	1.0181e+00	-1.6975e-02	-1.1159e-03
{"s":"NA18500"}	{"s":"NA19138"}	-1.8225e-02	1.1052e+00	-1.3742e-01	3.2261e-02
{"s":"NA18500"}	{"s":"NA19139"}	-1.5822e-02	1.1015e+00	-1.3962e-01	3.8169e-02
{"s":"NA18500"}	{"s":"NA19140"}	-2.1947e-02	1.0925e+00	-9.7131e-02	4.6714e-03
{"s":"NA18500"}	{"s":"NA19141"}	-5.2774e-02	1.2435e+00	-2.7600e-01	3.2451e-02
{"s":"NA18500"}	{"s":"NA19142"}	-4.3376e-02	1.2087e+00	-2.4395e-01	3.5221e-02
{"s":"NA18500"}	{"s":"NA19143"}	-3.0082e-02	1.1198e+00	-1.1920e-01	-5.6499e-04
{"s":"NA18500"}	{"s":"NA19144"}	-4.0789e-02	1.1968e+00	-2.3045e-01	3.3647e-02
{"s":"NA18500"}	{"s":"NA19145"}	-4.2033e-02	1.2023e+00	-2.3647e-01	3.4168e-02
{"s":"NA18500"}	{"s":"NA19152"}	-4.5269e-02	1.1805e+00	-1.7999e-01	-5.4249e-04
{"s":"NA18500"}	{"s":"NA19153"}	-5.1290e-03	1.0542e+00	-8.7787e-02	3.3635e-02
{"s":"NA18500"}	{"s":"NA19154"}	-3.0176e-02	1.1561e+00	-1.9151e-01	3.5403e-02
{"s":"NA18500"}	{"s":"NA19159"}	1.6049e-02	9.3738e-01	6.1037e-02	1.5789e-03
{"s":"NA18500"}	{"s":"NA19160"}	-2.5598e-03	1.0465e+00	-8.2770e-02	3.6265e-02
{"s":"NA18500"}	{"s":"NA19161"}	8.1929e-03	9.9958e-01	-3.1940e-02	3.2356e-02
{"s":"NA18500"}	{"s":"NA19171"}	-4.2447e-02	1.2013e+00	-2.3274e-01	3.1477e-02
{"s":"NA18500"}	{"s":"NA19172"}	-4.1588e-03	1.0117e+00	-6.8260e-03	-4.9047e-03
{"s":"NA18500"}	{"s":"NA19173"}	-2.8917e-02	1.1489e+00	-1.8205e-01	3.3190e-02
{"s":"NA18500"}	{"s":"NA19192"}	-9.3025e-03	1.0729e+00	-1.0849e-01	3.5642e-02
{"s":"NA18500"}	{"s":"NA19193"}	1.3643e-02	9.4762e-01	5.0193e-02	2.1894e-03
{"s":"NA18500"}	{"s":"NA19194"}	2.9626e-03	1.0201e+00	-5.2075e-02	3.1962e-02
{"s":"NA18500"}	{"s":"NA19200"}	7.6152e-03	9.9597e-01	-2.2399e-02	2.6430e-02
{"s":"NA18500"}	{"s":"NA19201"}	5.4088e-02	7.8960e-01	2.0445e-01	5.9486e-03
{"s":"NA18500"}	{"s":"NA19202"}	3.7158e-02	8.5386e-01	1.4365e-01	2.4927e-03
{"s":"NA18500"}	{"s":"NA19203"}	-1.9288e-02	1.1116e+00	-1.4605e-01	3.4447e-02
{"s":"NA18500"}	{"s":"NA19204"}	-6.4520e-02	1.2627e+00	-2.6734e-01	4.6314e-03
{"s":"NA18500"}	{"s":"NA19205"}	-5.1644e-02	1.2472e+00	-2.8781e-01	4.0618e-02
{"s":"NA18500"}	{"s":"NA19206"}	-1.1089e-02	1.0456e+00	-4.6934e-02	1.2883e-03
{"s":"NA18500"}	{"s":"NA19207"}	-4.1040e-02	1.1924e+00	-2.2064e-01	2.8242e-02
{"s":"NA18500"}	{"s":"NA19208"}	-3.3082e-02	1.1658e+00	-1.9937e-01	3.3520e-02
{"s":"NA18500"}	{"s":"NA19209"}	-4.5516e-02	1.1864e+00	-1.9075e-01	4.3455e-03
{"s":"NA18500"}	{"s":"NA19210"}	-2.8854e-02	1.1471e+00	-1.7888e-01	3.1729e-02
{"s":"NA18500"}	{"s":"NA19211"}	-4.6231e-02	1.2161e+00	-2.4735e-01	3.1216e-02
{"s":"NA18500"}	{"s":"NA19221"}	7.3746e-04	9.9615e-01	4.7438e-03	-8.9700e-04
{"s":"NA18500"}	{"s":"NA19222"}	1.7204e-02	9.3183e-01	6.7530e-02	6.4407e-04
{"s":"NA18500"}	{"s":"NA19223"}	-1.8960e-02	1.1079e+00	-1.3992e-01	3.2039e-02
{"s":"NA18500"}	{"s":"NA19238"}	-6.7467e-02	1.2813e+00	-2.9276e-01	1.1447e-02
{"s":"NA18500"}	{"s":"NA19239"}	-6.2187e-02	1.2861e+00	-3.2353e-01	3.7391e-02
{"s":"NA18500"}	{"s":"NA19240"}	-7.8734e-02	1.3220e+00	-3.2902e-01	7.0409e-03
{"s":"NA18501"}	{"s":"NA18502"}	-6.9050e-02	1.2854e+00	-2.9467e-01	9.2339e-03
{"s":"NA18501"}	{"s":"NA18503"}	-2.5837e-02	1.1339e+00	-1.6449e-01	3.0572e-02
{"s":"NA18501"}	{"s":"NA18504"}	-1.2289e-02	1.0825e+00	-1.1578e-01	3.3313e-02
{"s":"NA18501"}	{"s":"NA18505"}	-2.8251e-02	1.1143e+00	-1.1568e-01	1.3397e-03
{"s":"NA18501"}	{"s":"NA18506"}	1.4296e-02	9.7618e-01	-9.5357e-03	3.3360e-02
{"s":"NA18501"}	{"s":"NA18507"}	8.6071e-03	9.9755e-01	-2.9529e-02	3.1979e-02
{"s":"NA18501"}	{"s":"NA18508"}	1.2573e-02	9.5590e-01	3.7903e-02	6.1935e-03
