samples,variants,populations,walltime
1000,2000,10,1.65
1200,2000,10,0.64
1400,2000,10,0.64
1600,2000,10,0.77
1800,2000,10,0.91
2000,2000,10,1.07
2200,2000,10,1.28
2400,2000,10,1.45
2600,2000,10,1.66
2800,2000,10,1.86
3000,2000,10,2.19
3200,2000,10,2.47
3400,2000,10,2.72
3600,2000,10,2.98
3800,2000,10,3.19
4000,2000,10,3.52
4200,2000,10,3.81
4400,2000,10,4.15
4600,2000,10,4.62
4800,2000,10,4.85
5000,2000,10,5.22
5200,2000,10,5.59
5400,2000,10,6.37
5600,2000,10,6.49
5800,2000,10,6.87
6000,2000,10,7.26
6200,2000,10,7.80
6400,2000,10,8.66
6600,2000,10,8.80
6800,2000,10,9.37
7000,2000,10,9.81
7200,2000,10,10.36
7400,2000,10,10.84
7600,2000,10,11.76
7800,2000,10,12.03
8000,2000,10,12.79
8200,2000,10,10.33
8400,2000,10,13.89
8600,2000,10,14.48
8800,2000,10,15.20
9000,2000,10,15.77
9200,2000,10,16.64
9400,2000,10,17.14
9600,2000,10,18.11
9800,2000,10,18.59
10000,2000,10,19.62
